Province/State,Country/Region,Lat,Long,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20
Andhra Pradesh,India,15.9129,79.74,1,1,1,1,1,1,1,2,2,3,3,7,8,9
Bihar,India,25.612677,85.158875,0,0,0,0,0,0,0,0,0,0,2,2,3,3
Chhattisgarh,India,21.2787,81.8661,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Delhi,India,28.7041,77.1025,6,6,7,7,7,8,10,12,17,26,27,29,30,31
Gujarat,India,22.2587,71.1924,0,0,0,0,0,0,0,0,2,7,14,29,33,33
Haryana,India,29.0588,76.0856,0,0,0,0,0,15,17,17,17,17,17,26,28,28
Himachal Pradesh,India,31.1048,77.1734,0,0,0,0,0,0,0,0,0,2,2,3,3,3
Karnataka,India,15.3173,75.7139,4,5,6,6,6,11,1,14,15,15,20,33,37,41
Kerala,India,10.8505,76.2711,17,17,19,23,23,26,27,27,28,40,52,67,95,109
Madhya Pradesh,India,22.9734,78.6569,0,0,0,0,0,0,0,0,0,4,4,6,7,9
Maharashtra,India,19.7515,75.7139,11,11,14,32,32,39,42,47,47,63,63,74,89,101
Manipur,India,24.813967,93.950279,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mizoram,India,23.727106,92.717636,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Odisha,India,20.9517,85.0985,0,0,0,0,1,1,1,1,1,2,2,2,2,2
Puducherry,India,11.9416,79.8083,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Punjab,India,31.1471,75.3412,1,1,1,1,1,1,1,2,2,13,13,21,29,29
Rajasthan,India,27.0238,74.2179,3,3,3,4,4,4,4,7,7,17,24,28,32,32
Tamil Nadu,India,11.1271,78.6569,0,0,0,0,0,0,0,2,3,3,6,9,15,18
Telengana,India,18.1124,79.0193,1,1,1,3,3,5,6,6,18,21,21,32,35,35
Chandigarh,India,30.7333,76.7794,0,0,0,0,0,0,0,0,0,1,5,6,7,7
Jammu and Kashmir,India,33.7782,76.5762,0,0,0,0,0,0,0,0,0,4,4,4,4,7
Ladakh,India,34.2996,78.2932,0,0,0,0,0,0,0,0,0,13,13,13,13,13
Uttar Pradesh,India,26.8467,80.9462,11,11,11,13,13,15,16,19,19,24,25,31,33,35
Uttarakhand,India,30.0668,79.0193,0,0,0,1,1,1,1,1,1,3,3,3,4,4
West Bengal,India,22.9868,87.855,0,0,0,0,0,0,1,1,1,3,4,7,9,9
